BCG 접종,"BCG 백신은 결핵균에 의한 치명적인 결핵을 예방하는 약물이다. 영·유아 및 소아의 결핵 감염 예방을 위해 출생 후 가능하면 빨리 접종할 것이 권장된다. 약독화 생백신을 피내 또는 경피 접종하며, 대부분 접 종 후 국소 부작용이 나타나지만 2~3개월 이내에 사라진다.",A0,A1,baby,접종
B형 간염 1차 접종,"간에 염증이 발생하는 질환으로 경과에 따라 급성과 만성으로 구별할 수 있습니다. 급성 B형간염 중 5~10%가 만성 B형간염으로 진행되며 만성 B형간염이 지속되면 간경화증이나 간세포암으로 진행할 수 있습니다. 예방접종으로 국내 B형간염 바이러스 보유자가 많이 감소하였지만 미국 및 유럽의 여러 국가에 비해 아직도 많이 발생하고 있습니다.",A0,A1,baby,접종
B형 간염 2차 접종,"간에 염증이 발생하는 질환으로 경과에 따라 급성과 만성으로 구별할 수 있습니다. 급성 B형간염 중 5~10%가 만성 B형간염으로 진행되며 만성 B형간염이 지속되면 간경화증이나 간세포암으로 진행할 수 있습니다. 예방접종으로 국내 B형간염 바이러스 보유자가 많이 감소하였지만 미국 및 유럽의 여러 국가에 비해 아직도 많이 발생하고 있습니다.",A1,A2,baby,접종
B형 간염 3차 접종,"간에 염증이 발생하는 질환으로 경과에 따라 급성과 만성으로 구별할 수 있습니다. 급성 B형간염 중 5~10%가 만성 B형간염으로 진행되며 만성 B형간염이 지속되면 간경화증이나 간세포암으로 진행할 수 있습니다. 예방접종으로 국내 B형간염 바이러스 보유자가 많이 감소하였지만 미국 및 유럽의 여러 국가에 비해 아직도 많이 발생하고 있습니다.",A6,A7,baby,접종
DTaP 1차 접종,"DTaP 백신은 소아 및 어린이들에게 주로 사용되는 예방주사로, 디프테리아(Diphtheria), 파상풍(Tetanus), 백일해(Pertussis)에 대한 보호를 제공합니다. 첫 번째 DTaP 백신은 보통 출생 후 2개월 이내에 투여됩니다. 디프테리아, 파상풍, 백일해에 대한 기본적인 면역력을 구축하기 위한 초기 접종 단계입니다.",A2,A3,baby,접종
DTaP 2차 접종,"두 번째 DTaP 백신은 첫 번째 접종 이후 2개월 정도 간격으로 투여됩니다. 이로써 어린이의 면역력이 강화되고, 기본적인 예방 효과가 유지됩니다.",A4,A5,baby,접종
DTaP 3차 접종,"세 번째 DTaP 백신은 두 번째 접종 이후 약 2개월 정도 간격으로 투여됩니다. 연이어서 3차 접종을 통해 예방 효과가 높아지며, 신생아 및 어린이의 감염병 위험을 감소시킵니다.",A6,A7,baby,접종
DTaP 4차 접종,"네 번째 DTaP 백신은 어린이가 15~18개월 사이에 투여됩니다. 앞선 3차까지의 접종을 통해 강화된 면역력을 유지하면서, 추가적인 보호 효과를 부여합니다.",A15,A18,baby,접종
DTaP 5차 접종,"다섯 번째 DTaP 백신은 어린이가 4~6세 사이에 투여됩니다. 이로써 어린이의 디프테리아, 파상풍, 백일해에 대한 완전한 예방 효과를 확보하게 됩니다.",A48,A60,baby,접종
폴리오 1차 접종,"흔히 소아마비라고 알려져 있는 폴리오바이러스에 대한 예방접종입니다. 폴리오(Polio) 백신은 IPV(Inactivated Polio Vaccine)를 사용하며, 일반적으로 1차에서 4차까지의 접종이 이루어집니다. 첫 번째 폴리오 백신은 적어도 출생 후 2개월 이내에 투여됩니다. 이 초기 접종은 어린이의 면역계를 폴리오 바이러스에 대해 강화시키는데 기여합니다.",A2,A3,baby,접종
